transaction_id,from_account,to_account,amount,date,linked_person_id,synthetic_pattern
TXN00001,ACC00242,ACC00373,82673.54,2025-03-14,P00242,none
TXN00002,ACC00035,ACC00346,179935.34,2024-08-21,P00035,none
TXN00003,ACC00723,ACC00254,89119.3,2025-03-11,P00723,none
TXN00004,ACC00607,ACC00522,49506.6,2024-01-28,P00607,none
TXN00005,ACC00406,ACC00495,129100.12,2025-11-12,P00406,none
TXN00006,ACC00217,ACC00023,163575.96,2025-04-27,P00217,none
TXN00007,ACC00718,ACC00124,109824.73,2024-05-18,P00718,none
TXN00008,ACC00188,ACC00753,37090.3,2025-02-24,P00188,none
TXN00009,ACC00487,ACC00589,128653.43,2024-03-24,P00487,none
TXN00010,ACC00630,ACC00017,154333.92,2025-04-07,P00630,none
TXN00011,ACC00521,ACC00663,101659.81,2024-12-02,P00521,none
TXN00012,ACC00224,ACC00515,152105.54,2025-11-23,P00224,none
TXN00013,ACC00613,ACC00048,77748.56,2024-07-29,P00613,none
TXN00014,ACC00587,ACC00425,41267.89,2025-11-27,P00587,none
TXN00015,ACC00174,ACC00714,103249.93,2025-09-24,P00174,none
TXN00016,ACC00516,ACC00775,96574.78,2025-02-13,P00516,none
TXN00017,ACC00025,ACC00760,168845.01,2025-10-14,P00025,none
TXN00018,ACC00331,ACC00023,168846.58,2025-10-14,P00331,none
TXN00019,ACC00310,ACC00585,28041.04,2024-04-30,P00310,none
TXN00020,ACC00712,ACC00467,12207.2,2025-10-25,P00712,none
TXN00021,ACC00575,ACC00433,153116.35,2024-03-20,P00575,none
TXN00022,ACC00559,ACC00412,136717.4,2025-03-29,P00559,none
TXN00023,ACC00031,ACC00417,78455.45,2024-07-10,P00031,none
TXN00024,ACC00063,ACC00781,14410.76,2024-06-15,P00063,none
TXN00025,ACC00592,ACC00693,179314.55,2024-01-16,P00592,none
TXN00026,ACC00486,ACC00197,188729.32,2025-08-17,P00486,none
TXN00027,ACC00596,ACC00182,153464.17,2025-06-05,P00596,none
TXN00028,ACC00631,ACC00083,134744.33,2025-08-03,P00631,none
TXN00029,ACC00550,ACC00164,98362.34,2025-07-29,P00550,none
TXN00030,ACC00158,ACC00429,140634.37,2024-07-27,P00158,none
TXN00031,ACC00792,ACC00239,92998.29,2025-04-13,P00792,none
TXN00032,ACC00756,ACC00007,107011.75,2024-11-11,P00756,none
TXN00033,ACC00626,ACC00269,34737.33,2025-08-24,P00626,none
TXN00034,ACC00299,ACC00162,6526.3,2025-12-13,P00299,none
TXN00035,ACC00606,ACC00549,137549.17,2025-11-11,P00606,none
TXN00036,ACC00241,ACC00090,135077.08,2024-08-31,P00241,none
TXN00037,ACC00335,ACC00310,137574.03,2025-10-17,P00335,none
TXN00038,ACC00616,ACC00709,4345.9,2024-10-16,P00616,none
TXN00039,ACC00368,ACC00794,113333.37,2025-03-04,P00368,none
TXN00040,ACC00461,ACC00028,198779.84,2025-09-05,P00461,none
TXN00041,ACC00184,ACC00066,123577.58,2025-07-05,P00184,none
TXN00042,ACC00450,ACC00195,897.36,2024-09-21,P00450,none
TXN00043,ACC00622,ACC00544,32900.01,2024-10-05,P00622,none
TXN00044,ACC00238,ACC00575,182536.33,2024-10-11,P00238,none
TXN00045,ACC00675,ACC00252,162438.75,2025-12-15,P00675,none
TXN00046,ACC00151,ACC00711,135819.76,2024-03-18,P00151,none
TXN00047,ACC00478,ACC00743,107986.05,2025-02-28,P00478,none
TXN00048,ACC00483,ACC00515,172076.46,2024-01-06,P00483,none
TXN00049,ACC00396,ACC00650,75692.58,2025-10-18,P00396,none
TXN00050,ACC00278,ACC00680,44747.9,2024-04-26,P00278,none
TXN00051,ACC00352,ACC00661,105776.94,2024-02-23,P00352,none
TXN00052,ACC00106,ACC00389,130273.03,2024-09-15,P00106,none
TXN00053,ACC00791,ACC00595,184241.11,2025-11-04,P00791,none
TXN00054,ACC00146,ACC00670,102444.94,2024-12-02,P00146,none
TXN00055,ACC00002,ACC00205,187926.74,2024-02-17,P00002,none
TXN00056,ACC00118,ACC00488,11352.64,2025-09-05,P00118,none
TXN00057,ACC00160,ACC00423,126346.75,2024-02-13,P00160,none
TXN00058,ACC00457,ACC00050,41115.62,2025-06-09,P00457,none
TXN00059,ACC00645,ACC00553,6773.37,2025-10-17,P00645,none
TXN00060,ACC00068,ACC00466,32287.14,2024-06-02,P00068,none
TXN00061,ACC00542,ACC00170,120327.34,2025-02-28,P00542,none
TXN00062,ACC00564,ACC00179,130430.76,2024-10-30,P00564,none
TXN00063,ACC00307,ACC00540,65586.67,2024-01-31,P00307,none
TXN00064,ACC00677,ACC00020,91799.83,2025-06-12,P00677,none
TXN00065,ACC00520,ACC00676,116101.0,2024-12-13,P00520,none
TXN00066,ACC00579,ACC00189,128496.39,2025-04-23,P00579,none
TXN00067,ACC00647,ACC00283,18219.05,2025-03-05,P00647,none
TXN00068,ACC00553,ACC00003,84884.98,2025-08-29,P00553,none
TXN00069,ACC00702,ACC00116,143986.85,2025-01-29,P00702,none
TXN00070,ACC00113,ACC00176,160061.91,2025-02-19,P00113,none
TXN00071,ACC00402,ACC00136,3603.42,2024-02-03,P00402,none
TXN00072,ACC00544,ACC00137,168214.05,2024-09-02,P00544,none
TXN00073,ACC00640,ACC00123,91529.75,2025-10-12,P00640,none
TXN00074,ACC00776,ACC00180,198855.95,2025-03-07,P00776,none
TXN00075,ACC00200,ACC00689,180320.31,2024-09-27,P00200,none
TXN00076,ACC00288,ACC00276,44059.24,2025-09-01,P00288,none
TXN00077,ACC00391,ACC00646,130366.67,2025-10-19,P00391,none
TXN00078,ACC00260,ACC00343,199664.8,2025-11-27,P00260,none
TXN00079,ACC00497,ACC00007,16703.99,2024-01-12,P00497,none
TXN00080,ACC00754,ACC00765,59399.4,2025-11-08,P00754,none
TXN00081,ACC00674,ACC00147,60002.19,2025-11-04,P00674,none
