person_id,name,age,sex,district_id,address_text
P00001,Amaira Maharaj,47,F,kodagu,"181, Sami, Ludhiana-338908"
P00002,Shaurya Kannan,30,M,vijayanagara,"H.No. 265, Dugal Road, Naihati-161559"
P00003,Anthony Sharaf,54,M,raichur,"H.No. 849, Handa Path, Ranchi 413164"
P00004,Qabil Gaba,44,M,dharwad,"419, Walla Street, Ujjain 648350"
P00005,Amol Mutti,48,M,ballari,"H.No. 395, Tata Ganj, Berhampore-423884"
P00006,Sudiksha Pathak,42,F,raichur,"71/01, Dutta Street, Kavali-669784"
P00007,Dakshesh Yadav,49,M,mysuru,"H.No. 462, Aggarwal Chowk, Orai 814893"
P00008,Rachit Edwin,26,M,yadgir,"01, Mohanty Path, Howrah 911718"
P00009,Devansh Soman,24,M,kalaburagi,"96/38, Muni Ganj, Dindigul-871331"
P00010,Aishani Karpe,24,F,uttara_kannada,"H.No. 031, Narayanan Nagar, Kottayam-473829"
P00011,Keya Solanki,18,F,kalaburagi,"H.No. 165, Roy Marg, Meerut-065133"
P00012,Udarsh Dey,44,M,ramanagara,"H.No. 73, Savant Zila, Dhanbad-132677"
P00013,Sai Bhargava,22,M,uttara_kannada,"H.No. 647, Sampath Road, Bhatpara-430980"
P00014,Ayush Bedi,39,M,haveri,"H.No. 812, Bir Zila, Sambhal-939909"
P00015,Ubika Virk,23,F,koppal,"534, Deep Marg, Berhampore 107991"
P00016,Hredhaan Toor,52,M,uttara_kannada,"H.No. 13, Mane Path, Bahraich 980841"
P00017,Kevin D’Alia,49,M,dharwad,"H.No. 49, Oza Ganj, Bilaspur 401640"
P00018,Ojas De,22,M,uttara_kannada,"78/680, Borra Zila, Bongaigaon 598262"
P00019,Mitesh Patla,32,M,chikballapur,"315, Ray Circle, Patiala 260256"
P00020,Kiaan Dutta,45,M,ramanagara,"H.No. 733, Palla Chowk, Ambattur 036541"
P00021,Parth Upadhyay,46,M,bengaluru_rural,"H.No. 142, Lanka, Moradabad-556981"
P00022,Girish Kumar,19,M,bidar,"H.No. 883, Sankar Path, Bathinda 148465"
P00023,Manbir Datta,21,M,ballari,"62/994, Acharya Marg, Baranagar-699577"
P00024,Hredhaan Vaidya,41,M,chitradurga,"14/895, Keer Zila, Kamarhati-200379"
P00025,Vedant Sachdeva,33,M,gadag,"63, Ahluwalia Street, Khandwa-287083"
P00026,Vasatika Deol,54,F,kalaburagi,"98, Sehgal Marg, Fatehpur-434873"
P00027,Thomas Brahmbhatt,28,M,mysuru,"H.No. 55, Buch Circle, Saharanpur 623166"
P00028,Viraj Sagar,42,M,bidar,"69, Rai Nagar, Chennai 466889"
P00029,Yagnesh Kanda,49,M,koppal,"06, Ravel Path, Bhind 980699"
P00030,Benjamin Sangha,32,M,vijayanagara,"046, Kakar Path, Khammam-646417"
P00031,Atharv Palla,47,M,hassan,"00/330, Dua, Cuttack-193745"
P00032,Dakshesh Gade,47,M,chikkamagaluru,"04/96, Issac Marg, Guntakal 149190"
P00033,Tanish Prabhakar,52,M,vijayapura,"H.No. 671, Pathak Marg, Jamnagar 284987"
P00034,Tejas Loyal,46,M,bidar,"H.No. 473, Raghavan Chowk, Bhopal 527354"
P00035,Logan Majumdar,55,M,yadgir,"H.No. 367, Khosla Circle, Pallavaram 014363"
P00036,Raksha Solanki,34,F,chitradurga,"85/574, Krishnamurthy Road, Jamshedpur 518233"
P00037,Lakshit Vohra,30,M,hassan,"435, Mittal Street, Deoghar 400842"
P00038,Dalaja Arora,24,F,dharwad,"75, Behl Street, Morena 167190"
P00039,Falguni Modi,54,F,chikballapur,"H.No. 869, Kara, Hospet 496499"
P00040,Chandran Johal,36,M,davanagere,"12/328, Dugar Zila, Alappuzha-974034"
P00041,Vasana Bobal,35,F,bagalkot,"93/618, Dixit Ganj, Ajmer-024994"
P00042,David Sidhu,49,M,bagalkot,"H.No. 88, Sarma Chowk, Khora  659401"
P00043,Advaith Luthra,32,M,udupi,"87, Golla Road, Pallavaram 756551"
P00044,Nitesh Sabharwal,32,M,koppal,"68/071, Krishnan Path, Bhiwandi-808760"
P00045,Pratyush Tara,34,M,mandya,"482, Sarma Road, Bhilai-932480"
P00046,Chakradhar Kar,24,M,mysuru,"H.No. 274, Mahajan Circle, Karawal Nagar 378263"
P00047,Bakhshi Majumdar,37,M,vijayapura,"40/44, Suri, Amroha-558867"
P00048,Ijaya Khare,20,F,tumakuru,"05, Raj Chowk, Saharanpur-028951"
P00049,Chandresh Vora,26,M,kolar,"26/217, Nigam Road, Jodhpur-865780"
P00050,Jacob Mani,38,M,belagavi,"11, Ganesan Chowk, Bhopal-504556"
P00051,Krisha Wali,29,F,ramanagara,"219, Khosla Marg, Ballia-374740"
P00052,Maanas Dugar,52,M,chamarajanagar,"H.No. 94, Krishna Marg, Barasat 671369"
P00053,Manbir Merchant,51,M,vijayapura,"H.No. 09, Taneja Nagar, Berhampur 339421"
P00054,Mohammed Sastry,28,M,kalaburagi,"21/456, Iyer Street, Panvel 884247"
P00055,Pallavi Contractor,36,F,chikkamagaluru,"368, Chana Path, Kanpur-817549"
P00056,Quincy Chokshi,25,M,ramanagara,"H.No. 985, Kant, Madhyamgram-612004"
P00057,Dalbir Chatterjee,27,M,hassan,"75, Saini Circle, Vijayanagaram-796405"
P00058,Tristan Saxena,43,M,shivamogga,"H.No. 585, Rao Nagar, Jhansi-713900"
P00059,Jairaj Dass,23,M,yadgir,"39/33, Divan Path, Bally-284210"
P00060,Advika Parmar,18,F,tumakuru,"H.No. 240, Sama Street, Rajkot-758917"
